Model,Launch,Core name,Cores,Threads,Freq (MHz),Turbo (MHz),L3 Cache (KB),TDP (Watt),DP FLOPs/cycle,DB GFLOPS (No Turbo),DB GFLOPS/Watt,Tech (micron),Socket,FSB (MHz),L2 Cache (KB)
 E5-1428L , Jun 2012 , Sandy Bridge-EN ,6,12,1800,,15360,60,8,86,1.440,0.032, Socket 1356 ,,1536
 E5-2428L , May 2012 , Sandy Bridge-EN ,6,12,1800,2000,15360,60,8,86,1.440,0.032, Socket 1356 , 3600 (DMI/QPI) ,1536
 E3-1220 v2 , May 2012 , Ivy Bridge-H2 ,4,4,3100,3500,8192,69,8,99,1.438,0.022, Socket 1155 ,,1024
 E5-2450 , May 2012 , Sandy Bridge-EN ,8,16,2100,2900,20480,95,8,134,1.415,0.032, Socket 1356 , 4000 (DMI/QPI) ,2048
 E5-2658 , Mar 2012 , Sandy Bridge-EP ,8,16,2100,2400,20480,95,8,134,1.415,0.032, Socket 2011 , 4000 (DMI/QPI) ,2048
 E3-1245 v2 , May 2012 , Ivy Bridge-H2 ,4,8,3400,3800,8192,77,8,109,1.413,0.022, Socket 1155 ,,1024
 E5-2690 , Mar 2012 , Sandy Bridge-EP ,8,16,2900,3800,20480,135,8,186,1.375,0.032, Socket 2011 , 4000 (DMI/QPI) ,2048
 E5-1660 v2 , Sep 2013 , Ivy Bridge-EP ,6,12,3700,4000,15360,130,8,178,1.366,0.022, Socket 2011 ,,1536
 E3-1290 v2 , May 2012 , Ivy Bridge-H2 ,4,8,3700,4100,8192,87,8,118,1.361,0.022, Socket 1155 ,,1024
 E3-1270 , Apr 2011 , Sandy Bridge ,4,8,3400,3800,8192,80,8,109,1.360,0.032, Socket 1155 ,,1024
 E5-2640 v2 , Sep 2013 , Ivy Bridge-EP ,8,16,2000,2500,20480,95,8,128,1.347,0.022, Socket 2011 , 3600 (DMI/QPI) ,2048
 E5-2650 , Mar 2012 , Sandy Bridge-EP ,8,16,2000,2800,20480,95,8,128,1.347,0.032, Socket 2011 , 4000 (DMI/QPI) ,2048
